cve_id,cwe_id,publish_date,update_date,score,severity,confidentiality_impact,integrity_impact,availability_impact,access_complexity,vulnerability_classification,project,lang,num_files_changed,file_extensions,summary
CVE-2009-1194,CWE-189,2009-05-11,,6.8,Medium,Partial,Partial,Partial,Medium,DoS Exec Code Overflow ,pango,C,10,[],"Integer overflow in the pango_glyph_string_set_size function in pango/glyphstring.c in Pango before 1.24 allows context-dependent attackers to cause a denial of service (application crash) or possibly execute arbitrary code via a long glyph string that triggers a heap-based buffer overflow, as demonstrated by a long document.location value in Firefox."
CVE-2010-2809,CWE-94,2010-08-19,,6.8,Medium,Partial,Partial,Partial,Medium,Exec Code ,uzbl,C,10,[],"The default configuration of the <Button2> binding in Uzbl before 2010.08.05 does not properly use the @SELECTED_URI feature, which allows user-assisted remote attackers to execute arbitrary commands via a crafted HREF attribute of an A element in an HTML document."
CVE-2010-2060,,2010-06-07,,7.5,High,Partial,Partial,Partial,Low,Exec Code ,beanstalkd,C,0,[],"The put command functionality in beanstalkd 1.4.5 and earlier allows remote attackers to execute arbitrary Beanstalk commands via the body in a job that is too big, which is not properly handled by the dispatch_cmd function in prot.c."
CVE-2010-1155,CWE-20,2010-04-16,,6.8,Medium,Partial,Partial,Partial,Medium,,irssi-proxy,C,0,[],"Irssi before 0.8.15, when SSL is used, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) field or a Subject Alternative Name field of the X.509 certificate, which allows man-in-the-middle attackers to spoof IRC servers via an arbitrary certificate."
CVE-2010-1152,CWE-20,2010-04-12,,5.0,Medium,,,Partial,Low,DoS ,memcached,C,10,[],memcached.c in memcached before 1.4.3 allows remote attackers to cause a denial of service (daemon hang or crash) via a long line that triggers excessive memory allocation.  NOTE: some of these details are obtained from third party information.
CVE-2010-0011,CWE-264,2010-02-25,,7.5,High,Partial,Partial,Partial,Low,Exec Code ,uzbl,C,0,[],"The eval_js function in uzbl-core.c in Uzbl before 2010.01.05 exposes the run method of the Uzbl object, which allows remote attackers to execute arbitrary commands via JavaScript code."
CVE-2011-2161,CWE-399,2011-05-20,,4.3,Medium,,,Partial,Medium,DoS ,FFmpeg,C,10,[],"The ape_read_header function in ape.c in libavformat in FFmpeg before 0.5.4, as used in MPlayer, VideoLAN VLC media player, and other products, allows remote attackers to cause a denial of service (application crash) via an APE (aka Monkey's Audio) file that contains a header but no frames."
CVE-2011-1575,CWE-399,2011-05-23,,5.8,Medium,Partial,Partial,,Medium,,pure-ftpd,C,10,[],"The STARTTLS implementation in ftp_parser.c in Pure-FTPd before 1.0.30 does not properly restrict I/O buffering, which allows man-in-the-middle attackers to insert commands into encrypted FTP sessions by sending a cleartext command that is processed after TLS is in place, related to a *plaintext command injection* attack, a similar issue to CVE-2011-0411."
CVE-2011-0530,CWE-119,2011-02-22,,7.5,High,Partial,Partial,Partial,Low,Exec Code Overflow ,nbd,C,10,[],Buffer overflow in the mainloop function in nbd-server.c in the server in Network Block Device (nbd) before 2.9.20 might allow remote attackers to execute arbitrary code via a long request.  NOTE: this issue exists because of a CVE-2005-3534 regression.
CVE-2012-5532,,2012-12-27,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],"The main function in tools/hv/hv_kvp_daemon.c in hypervkvpd, as distributed in the Linux kernel before 3.8-rc1, allows local users to cause a denial of service (daemon exit) via a crafted application that sends a Netlink message.  NOTE: this vulnerability exists because of an incorrect fix for CVE-2012-2669."
CVE-2012-5517,,2012-12-21,,4.0,Medium,,,Complete,High,DoS ,linux,C,10,[],The online_pages function in mm/memory_hotplug.c in the Linux kernel before 3.6 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact in opportunistic circumstances by using memory that was hot-added by an administrator.
CVE-2012-4565,CWE-189,2012-12-21,,4.7,Medium,,,Complete,Medium,DoS ,linux,C,10,[],"The tcp_illinois_info function in net/ipv4/tcp_illinois.c in the Linux kernel before 3.4.19, when the net.ipv4.tcp_congestion_control illinois setting is enabled, allows local users to cause a denial of service (divide-by-zero error and OOPS) by reading TCP stats."
CVE-2012-4508,CWE-362,2012-12-21,,1.9,Low,Partial,,,Medium,+Info ,linux,C,10,[],Race condition in fs/ext4/extents.c in the Linux kernel before 3.4.16 allows local users to obtain sensitive information from a deleted file by reading an extent that was not properly marked as uninitialized.
CVE-2012-4467,CWE-399,2012-10-10,,6.6,Medium,Complete,,Complete,Low,DoS +Info ,linux,C,10,[],"The (1) do_siocgstamp and (2) do_siocgstampns functions in net/socket.c in the Linux kernel before 3.5.4 use an incorrect argument order, which allows local users to obtain sensitive information from kernel memory or cause a denial of service (system crash) via a crafted ioctl call."
CVE-2012-4444,,2012-12-21,,5.0,Medium,,Partial,,Low,Bypass ,linux,C,10,[],The ip6_frag_queue function in net/ipv6/reassembly.c in the Linux kernel before 2.6.36 allows remote attackers to bypass intended network restrictions via overlapping IPv6 fragments.
CVE-2012-3552,CWE-362,2012-10-03,,5.4,Medium,,,Complete,High,DoS ,linux,C,0,[],Race condition in the IP implementation in the Linux kernel before 3.0 might allow remote attackers to cause a denial of service (slab corruption and system crash) by sending packets to an application that sets socket options during the handling of network traffic.
CVE-2012-3525,CWE-20,2012-08-25,,5.8,Medium,Partial,Partial,,Medium,,jabberd2,C,10,[],"s2s/out.c in jabberd2 2.2.16 and earlier does not verify that a request was made for an XMPP Server Dialback response, which allows remote XMPP servers to spoof domains via a (1) Verify Response or (2) Authorization Response."
CVE-2012-3520,CWE-287,2012-10-03,,1.9,Low,,Partial,,Medium,,linux,C,0,[],"The Netlink implementation in the Linux kernel before 3.2.30 does not properly handle messages that lack SCM_CREDENTIALS data, which might allow local users to spoof Netlink communication via a crafted message, as demonstrated by a message to (1) Avahi or (2) NetworkManager."
CVE-2012-3511,CWE-362,2012-10-03,,6.2,Medium,Complete,Complete,Complete,High,DoS ,linux,C,10,[],Multiple race conditions in the madvise_remove function in mm/madvise.c in the Linux kernel before 3.4.5 allow local users to cause a denial of service (use-after-free and system crash) via vectors involving a (1) munmap or (2) close system call.
CVE-2012-3510,CWE-399,2012-10-03,,5.6,Medium,Partial,,Complete,Low,DoS +Info ,linux,C,10,[],Use-after-free vulnerability in the xacct_add_tsk function in kernel/tsacct.c in the Linux kernel before 2.6.19 allows local users to obtain potentially sensitive information from kernel memory or cause a denial of service (system crash) via a taskstats TASKSTATS_CMD_ATTR_PID command.
CVE-2012-3430,CWE-200,2012-10-03,,2.1,Low,Partial,,,Low,+Info ,linux,C,10,[],"The rds_recvmsg function in net/rds/recv.c in the Linux kernel before 3.0.44 does not initialize a certain structure member, which allows local users to obtain potentially sensitive information from kernel stack memory via a (1) recvfrom or (2) recvmsg system call on an RDS socket."
CVE-2012-3412,CWE-189,2012-10-03,,7.8,High,,,Complete,Low,DoS ,linux,C,0,[],The sfc (aka Solarflare Solarstorm) driver in the Linux kernel before 3.2.30 allows remote attackers to cause a denial of service (DMA descriptor consumption and network-controller outage) via crafted TCP packets that trigger a small MSS value.
CVE-2012-3400,CWE-119,2012-10-03,,7.6,High,Complete,Complete,Complete,High,DoS Overflow ,linux,C,10,[],Heap-based buffer overflow in the udf_load_logicalvol function in fs/udf/super.c in the Linux kernel before 3.4.5 allows remote attackers to cause a denial of service (system crash) or possibly have unspecified other impact via a crafted UDF filesystem.
CVE-2012-3375,,2012-10-03,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],"The epoll_ctl system call in fs/eventpoll.c in the Linux kernel before 3.2.24 does not properly handle ELOOP errors in EPOLL_CTL_ADD operations, which allows local users to cause a denial of service (file-descriptor consumption and system crash) via a crafted application that attempts to create a circular epoll dependency.  NOTE: this vulnerability exists because of an incorrect fix for CVE-2011-1083."
CVE-2012-2745,CWE-119,2012-08-09,,4.7,Medium,,,Complete,Medium,DoS Overflow ,linux,C,10,[],"The copy_creds function in kernel/cred.c in the Linux kernel before 3.3.2 provides an invalid replacement session keyring to a child process, which allows local users to cause a denial of service (panic) via a crafted application that uses the fork system call."
CVE-2012-2744,,2012-08-09,,7.8,High,,,Complete,Low,DoS ,linux,C,10,[],"net/ipv6/netfilter/nf_conntrack_reasm.c in the Linux kernel before 2.6.34, when the nf_conntrack_ipv6 module is enabled, allows remote attackers to cause a denial of service (NULL pointer dereference and system crash) via certain types of fragmented IPv6 packets."
CVE-2012-2675,CWE-189,2012-07-25,,4.3,Medium,,Partial,,Medium,Overflow ,nedmalloc,C,10,[],"Multiple integer overflows in the (1) CallMalloc (malloc) and (2) nedpcalloc (calloc) functions in nedmalloc (nedmalloc.c) before 1.10 beta2 make it easier for context-dependent attackers to perform memory-related attacks such as buffer overflows via a large size value, which causes less memory to be allocated than expected."
